0,20232-The-Movie
1,Avatar
2, Titanic
3,Marvel's The Avengers
4,Harry Potter and the Deathly Hallows: Part 2
5,Iron Man 3
8,Skyfall
9,The Dark Knight Rises
10,Pirates of the Caribbean: Dead Man's Chest
12,Pirates of the Caribbean: On Stranger Tides
13,Jurassic Park
14,Star Wars Episode I: The Phantom Menace
15,Alice in Wonderland
16,The Hobbit: An Unexpected Journey
17,The Dark Knight
18,Harry Potter and the Philosopher's Stone
19,Pirates of the Caribbean: At World's End
20,The Lion King
21,Harry Potter and the Deathly Hallows: Part 1
22,Harry Potter and the Order of the Phoenix
23,Harry Potter and the Half-Blood Prince
25,Finding Nemo
26,Shrek 2
27,Despicable Me 2  
28,Harry Potter and the Goblet of Fire
29,Spider-Man 3
30,Ice Age: Dawn of the Dinosaurs
31,Harry Potter and the Chamber of Secrets
32,Ice Age: Continental Drift
33,The Lord of the Rings: The Fellowship of the Ring
34,Star Wars Episode III: Revenge of the Sith
37,Inception
38,Spider-Man
39,Independence Day
40,Shrek the Third
41,Harry Potter and the Prisoner of Azkaban
42,E.T. the Extra-Terrestrial
43,Fast & Furious 6
44,Indiana Jones and the Kingdom of the Crystal Skull
45,Spider-Man 2
46,Star Wars
47,2012
48,The Da Vinci Code
49,Shrek Forever After
50,The Amazing Spider-Man
